Id_plot,Location,Plots,Treatment,Date,Longitude,Latitude,Elevation,Richness,Abundance,D_Shannon,D_Simpson,Canopy_cover,N_M_Trees_adult,N_M_Eedulis_adult,effort_cam_day_summed,med_lar_mamm_spp_rich,hbvr_body_size_kg,leaf_thickness,seed_mass,leaf_area,sla,seed_length,carbon_nitro,leaf_damage
CBO_p05o,CBO,5,open,2019,-47.989345,-24.065651,772.302551,6,19,1.609437912,0.76,77.31,14,0,179,4,29,NA,NA,NA,NA,NA,NA,NA
VGM_p15c,VGM,15,closed,2019,-45.207126,-23.431558,794.068726,5,47,1.29636116,0.673469388,67.61,34,17,149,0,0,NA,NA,NA,NA,NA,NA,NA
VGM_p08o,VGM,8,open,2017,-45.22087,-23.434813,796.220947,11,33,2.025326221,0.8,NA,16,1,84,1,0,NA,NA,NA,NA,NA,NA,NA
ITA_p04o,ITA,4,open,2019,-45.0852,-23.321763,988.862732,6,18,1.676987774,0.790123457,60.68,32,8,191,6,37.12765957,NA,NA,NA,NA,NA,NA,NA
CBO_p15c,CBO,15,closed,2017,-47.982419,-24.061552,745.314453,6,26,1.580818536,0.7578125,NA,22,10,37,0,0,NA,NA,NA,NA,NA,NA,NA
CBO_p15o,CBO,15,open,2017,-47.982107,-24.061303,747.095642,6,36,1.492957633,0.723765432,NA,23,2,88,2,220,NA,NA,NA,NA,NA,NA,NA
CAR_p11o,CAR,11,open,2017,-47.933368,-25.108163,147.939743,4,27,1.214889654,0.666666667,NA,23,2,83,3,29,NA,NA,NA,NA,NA,NA,NA
VGM_p07o,VGM,7,open,2019,-45.223578,-23.434383,787.052307,4,36,1.149917138,0.629757785,69.23,23,12,53,1,0,NA,NA,NA,NA,NA,NA,1.533333333
CBO_p05c,CBO,5,closed,2017,-47.989469,-24.065634,771.00354,6,25,1.609437912,0.76,NA,17,0,36,0,0,NA,NA,NA,NA,NA,NA,NA
ITA_p08c,ITA,8,closed,2017,-45.082997,-23.318646,1027.61,4,30,0.95544714100000006,0.519031142,NA,34,12,81,0,0,0.23,644.22,13911.8,33481.6,17.5,18.86,NA
CBO_p15o,CBO,15,open,2019,-47.982107,-24.061303,747.095642,4,33,1.236684869,0.680555556,63.57,23,2,178,3,29,NA,NA,NA,NA,NA,NA,NA
CBO_p01c,CBO,1,closed,2017,-47.993587,-24.067012,730.712769,12,49,2.378718834,0.897005113,NA,26,0,84,0,0,NA,NA,NA,NA,NA,NA,NA
CAR_p03c,CAR,3,closed,2019,-47.924126,-25.095439,17.124147,7,54,1.673118363,0.755102041,76.31,15,0,113,0,0,NA,NA,NA,NA,NA,NA,NA
CBO_p14c,CBO,14,closed,2017,-47.984013,-24.06219,748.46936,10,37,2.128549005,0.858725762,NA,20,4,87,0,0,NA,NA,NA,NA,NA,NA,NA
CAR_p14c,CAR,14,closed,2017,-47.929058,-25.106113,184.362885,11,42,2.309298381,0.88941736,NA,28,5,105,0,0,NA,NA,NA,NA,NA,NA,NA
CAR_p14o,CAR,14,open,2019,-47.928964,-25.106099,187.9832,8,18,2.043191871,0.864197531,67.37,29,2,104,1,29,NA,NA,NA,NA,NA,NA,NA
CBO_p02c,CBO,2,closed,2019,-47.992151,-24.067649,743.490845,7,30,1.846220219,0.826446281,65.92,21,4,83,0,0,NA,NA,NA,NA,NA,NA,NA
CAR_p05o,CAR,5,open,2017,-47.919731,-25.095462,17.537193,6,85,1.44023475,0.6875,NA,23,1,83,2,28.2,NA,NA,NA,NA,NA,NA,NA
CAR_p03o,CAR,3,open,2017,-47.924067,-25.095521,11.745375,6,17,1.619898376,0.770975057,NA,15,2,83,1,28.09677419,NA,NA,NA,NA,NA,NA,NA
VGM_p01c,VGM,1,closed,2017,-45.239552,-23.443716,806.329163,4,14,1.277034259,0.693877551,NA,25,3,84,0,0,NA,NA,NA,NA,NA,NA,NA
ITA_p15o,ITA,15,open,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8125
ITA_p14o,ITA,14,open,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.75,2955.1,19196.98,28549.06,15.75,13.87,NA
VGM_p09c,VGM,9,closed,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.247191011
VGM_p06o,VGM,6,open,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.754716981
CBO_p09o,CBO,9,open,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21,1287.52,17123.88,17.55,18.89,15.6,NA
VGM_p07c,VGM,7,closed,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,1860.2,4996.1,21.19,15.48,15.05,NA
CAR_p03c,CAR,3,closed,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84,526.45,33051.23,40145.94,13.7,13.52,NA
CBO_p11c,CBO,11,closed,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.152173913
ITA_p14o,ITA,14,open,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.909090909
CBO_p05c,CBO,5,closed,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7
CAR_p05o,CAR,5,open,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.488888889
VGM_p04o,VGM,4,open,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6
CBO_p09c,CBO,9,closed,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7
CBO_p01c,CBO,1,closed,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.303030303
VGM_p06o,VGM,6,open,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,706.61,5643.75,24.89,16.88,17.33,NA
VGM_p01o,VGM,1,open,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1
VGM_p09c,VGM,9,closed,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.84,584.57,11285.37,12557.32,11.03,16.05,NA
CAR_p15c,CAR,15,closed,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.04,3633.83,13000.27,12.89,16.31,17.28,NA
