"","Id_plot","Location","Plots","Treatment","Date","Longitude","Latitude","Elevation","Richness","Abundance","D_Shannon","D_Simpson","Canopy_cover","N_M_Trees_adult","N_M_Eedulis_adult","effort_cam_day_summed","med_lar_mamm_spp_rich","hbvr_body_size_kg"
"44","CBO_p02o","CBO",2,"open",2019,-47.992218,-24.067741,739.851257,7,37,1.83437197,0.82,66.94,20,3,132,2,21
"45","CBO_p02c","CBO",2,"closed",2019,-47.992151,-24.067649,743.490845,7,30,1.846220219,0.826446281,65.92,21,4,83,0,0
"46","CBO_p05o","CBO",5,"open",2019,-47.989345,-24.065651,772.302551,6,19,1.609437912,0.76,77.31,14,0,179,4,29
"47","CBO_p09c","CBO",9,"closed",2019,-47.986205,-24.071008,727.91449,9,45,2.068513497,0.858131488,70.62,22,1,197,0,0
"48","CBO_p11c","CBO",11,"closed",2019,-47.985811,-24.062904,802.03241,12,47,2.0249132,0.798469388,61.18,24,3,165,0,0
"49","CAR_p01o","CAR",1,"open",2019,-47.927781,-25.094767,28.525818,4,21,1.242453325,0.666666667,69.22,25,5,113,1,29
"50","CAR_p02o","CAR",2,"open",2019,-47.925272,-25.095338,20.689249,6,49,1.349792396,0.625,80.54,40,12,83,2,28.11111111
"51","CAR_p03o","CAR",3,"open",2019,-47.924067,-25.095521,11.745375,6,12,1.64341772,0.78,79.01,15,2,113,1,29
"52","CAR_p03c","CAR",3,"closed",2019,-47.924126,-25.095439,17.124147,7,54,1.673118363,0.755102041,76.31,15,0,113,0,0
"53","CAR_p04c","CAR",4,"closed",2019,-47.922061,-25.095662,22.005089,10,69,1.326849606,0.528616025,84.76,29,0,113,0,0
"54","CAR_p05o","CAR",5,"open",2019,-47.919731,-25.095462,17.537193,5,42,1.400326576,0.714285714,84.01,23,1,63,1,29
"55","CAR_p05c","CAR",5,"closed",2019,-47.919784,-25.095556,19.485991,6,59,0.888108246,0.415123457,80.03,27,0,113,0,0
"56","CAR_p08o","CAR",8,"open",2019,-47.930733,-25.097997,35.368107,2,62,0.121692403,0.051246537,90.81,25,2,104,2,28.48387097
"57","CAR_p09o","CAR",9,"open",2019,-47.932214,-25.10392,88.153687,4,38,1.153741943,0.612244898,61.89,20,1,98,2,28.81818182
"58","CAR_p09c","CAR",9,"closed",2019,-47.93221,-25.104023,88.235954,12,63,2.200516493,0.855371901,67.76,29,19,111,0,0
"59","CAR_p11o","CAR",11,"open",2019,-47.933368,-25.108163,147.939743,4,29,1.126928795,0.625,60.51,23,2,73,1,29
"60","CAR_p14o","CAR",14,"open",2019,-47.928964,-25.106099,187.9832,8,18,2.043191871,0.864197531,67.37,29,2,104,1,29
"61","CAR_p15o","CAR",15,"open",2019,-47.926908,-25.10724,192.005157,3,10,1.098612289,0.666666667,70.61,24,1,109,2,29
"62","ITA_p01c","ITA",1,"closed",2019,-45.094219,-23.323956,999.301819,9,46,1.958727142,0.825484765,71.38,17,2,211,0,0
"63","ITA_p02o","ITA",2,"open",2019,-45.09526,-23.322808,990.020813,8,42,1.835171032,0.797783934,84.68,22,2,129,4,35.47457627
"64","VGM_p04c","VGM",4,"closed",2019,-45.233621,-23.436282,759.187561,11,77,1.780268377,0.756232687,67.44,30,1,88,0,0
"65","VGM_p05c","VGM",5,"closed",2019,-45.229664,-23.434967,773.427124,14,88,2.243000029,0.856015779,70.25,40,9,92,0,0
"66","VGM_p07o","VGM",7,"open",2019,-45.223578,-23.434383,787.052307,4,36,1.149917138,0.629757785,69.23,23,12,53,1,0
"67","VGM_p11o","VGM",11,"open",2019,-45.214577,-23.435393,802.296753,8,43,1.328515191,0.56,68.91,34,6,132,4,35.5
"68","VGM_p12c","VGM",12,"closed",2019,-45.212228,-23.434807,793.065918,9,49,1.951349606,0.825396825,66.27,34,17,149,0,0
"69","CBO_p01c","CBO",1,"closed",2017,-47.993587,-24.067012,730.712769,12,49,2.378718834,0.897005113,NA,26,0,84,0,0
"70","CBO_p02c","CBO",2,"closed",2017,-47.992151,-24.067649,743.490845,8,34,1.981791225,0.849112426,NA,21,4,86,0,0
"71","CBO_p05o","CBO",5,"open",2017,-47.989345,-24.065651,772.302551,6,14,1.747868097,0.816326531,NA,14,0,90,2,220
"72","CBO_p05c","CBO",5,"closed",2017,-47.989469,-24.065634,771.00354,6,25,1.609437912,0.76,NA,17,0,36,0,0
"73","CBO_p06o","CBO",6,"open",2017,-47.987841,-24.064103,807.0578,12,61,2.260203623,0.864197531,NA,23,0,84,0,21
"74","CBO_p06c","CBO",6,"closed",2017,-47.987782,-24.064063,805.889343,6,41,1.179233687,0.574669187,NA,20,2,85,0,0
"75","CBO_p11c","CBO",11,"closed",2017,-47.985811,-24.062904,802.03241,14,58,2.235212609,0.837890625,NA,24,3,89,0,0
"76","CBO_p15c","CBO",15,"closed",2017,-47.982419,-24.061552,745.314453,6,26,1.580818536,0.7578125,NA,22,10,37,0,0
"77","CAR_p01o","CAR",1,"open",2017,-47.927781,-25.094767,28.525818,5,24,1.357977855,0.680555556,NA,25,5,84,1,27.4
"78","CAR_p02c","CAR",2,"closed",2017,-47.925504,-25.095345,22.185171,11,113,2.303488495,0.888888889,NA,31,1,68,0,0
"79","CAR_p03c","CAR",3,"closed",2017,-47.924126,-25.095439,17.124147,7,37,1.702785743,0.768175583,NA,15,0,102,0,0
"80","CAR_p05c","CAR",5,"closed",2017,-47.919784,-25.095556,19.485991,7,62,0.847050303,0.368640323,NA,27,0,56,0,0
"81","CAR_p10o","CAR",10,"open",2017,-47.932726,-25.106342,128.655914,4,33,1.031767111,0.556213018,NA,27,5,85,1,29
"82","CAR_p11o","CAR",11,"open",2017,-47.933368,-25.108163,147.939743,4,27,1.214889654,0.666666667,NA,23,2,83,3,29
"83","CAR_p12c","CAR",12,"closed",2017,-47.931814,-25.10781,136.438248,6,29,1.519382665,0.733727811,NA,27,6,92,0,0
"84","ITA_p01o","ITA",1,"open",2017,-45.094332,-23.323956,998.777344,10,29,2.000201216,0.807958478,NA,25,5,85,1,29
"85","ITA_p01c","ITA",1,"closed",2017,-45.094219,-23.323956,999.301819,9,50,1.781804601,0.761904762,NA,17,2,77,0,0
"86","ITA_p08o","ITA",8,"open",2017,-45.083032,-23.318733,1024.32,4,21,1.308605387,0.708333333,NA,40,4,66,0,0
"87","ITA_p10o","ITA",10,"open",2017,-45.082388,-23.314296,1068.85,2,5,0.500402424,0.32,NA,31,7,70,1,29
"88","ITA_p12o","ITA",12,"open",2017,-45.079412,-23.311287,1088.23,3,11,1.011404265,0.611111111,NA,38,9,102,4,28.68181818
"89","ITA_p15o","ITA",15,"open",2017,-45.072431,-23.310436,1078.85,3,14,0.950270539,0.56,NA,18,3,39,2,29
"90","VGM_p01o","VGM",1,"open",2017,-45.239825,-23.443689,807.727356,4,10,1.168518406,0.628099174,NA,27,2,84,4,220
"91","VGM_p05o","VGM",5,"open",2017,-45.229778,-23.43515,777.09613,9,35,2.002883041,0.837370242,NA,33,4,89,2,15
"92","VGM_p05c","VGM",5,"closed",2017,-45.229664,-23.434967,773.427124,14,85,2.230868497,0.8471875,NA,40,9,89,0,0
"93","VGM_p06c","VGM",6,"closed",2017,-45.226397,-23.434284,778.063171,11,50,2.054868599,0.816180845,NA,41,13,88,0,0
"94","VGM_p07o","VGM",7,"open",2017,-45.223578,-23.434383,787.052307,4,35,1.308605387,0.708333333,NA,23,12,39,0,0
"95","VGM_p09c","VGM",9,"closed",2017,-45.218086,-23.43404,800.055054,9,113,1.725626375,0.742415229,NA,29,11,83,0,0
"96","VGM_p10o","VGM",10,"open",2017,-45.216856,-23.434663,796.001404,7,22,1.647757135,0.760816327,NA,47,4,55,1,0
"97","VGM_p10c","VGM",10,"closed",2017,-45.216782,-23.434563,793.089966,15,46,2.2655841,0.853177502,NA,50,12,86,0,0
"98","VGM_p11c","VGM",11,"closed",2017,-45.21459,-23.435386,798.654907,7,63,1.486758371,0.671029149,NA,31,6,80,0,0
"99","VGM_p12c","VGM",12,"closed",2017,-45.212228,-23.434807,793.065918,11,45,2.188185647,0.867358708,NA,34,17,47,0,0
"100","CBO_p14c","CBO",14,"closed",2019,-47.984013,-24.06219,748.46936,10,57,2.149391658,0.866213152,73.34,20,4,178,0,0
"101","CAR_p01c","CAR",1,"closed",2019,-47.927811,-25.09477,30.15032,8,25,1.893788232,0.809917355,69.69,22,2,113,0,0
"102","CAR_p02c","CAR",2,"closed",2019,-47.925504,-25.095345,22.185171,12,44,2.393312123,0.8984375,80.5,31,1,109,0,0
"103","CAR_p04o","CAR",4,"open",2019,-47.922067,-25.095685,23.64897,6,39,1.562663983,0.747404844,73.19,21,1,112,1,29
"104","CAR_p10o","CAR",10,"open",2019,-47.932726,-25.106342,128.655914,4,29,0.940447989,0.48,72.6,27,5,110,2,29
"105","CAR_p10c","CAR",10,"closed",2019,-47.932759,-25.10636,128.560699,10,88,0.992902627,0.393022428,72.61,34,10,71,0,0
"106","CAR_p11c","CAR",11,"closed",2019,-47.9333,-25.108234,146.384399,7,72,1.671530802,0.765432099,60.47,25,3,102,0,0
"107","ITA_p01o","ITA",1,"open",2019,-45.094332,-23.323956,998.777344,10,32,2.25385759,0.888888889,84.55,25,5,141,4,28.125
"108","ITA_p02c","ITA",2,"closed",2019,-45.095288,-23.322842,990.743896,8,53,1.627105189,0.751953125,84.07,27,8,207,0,0
"109","ITA_p04o","ITA",4,"open",2019,-45.0852,-23.321763,988.862732,6,18,1.676987774,0.790123457,60.68,32,8,191,6,37.12765957
"110","ITA_p04c","ITA",4,"closed",2019,-45.085317,-23.321675,986.783142,9,44,1.473355934,0.626297578,85.72,30,4,171,0,0
"111","ITA_p06c","ITA",6,"closed",2019,-45.087253,-23.317317,1010.29,5,62,1.398143697,0.722117202,71.67,30,7,161,0,0
"112","ITA_p08o","ITA",8,"open",2019,-45.083032,-23.318733,1024.32,4,22,1.329661349,0.722222222,64.04,40,4,110,5,29
"113","ITA_p08c","ITA",8,"closed",2019,-45.082997,-23.318646,1027.61,4,60,1.013904661,0.574074074,71.9,34,12,211,0,0
"114","ITA_p10c","ITA",10,"closed",2019,-45.082248,-23.314323,1069.82,6,44,1.138405139,0.562130178,86.46,28,5,211,0,0
"115","VGM_p01o","VGM",1,"open",2019,-45.239825,-23.443689,807.727356,3,11,1.054920168,0.64,63.82,27,2,152,3,15
"116","VGM_p01c","VGM",1,"closed",2019,-45.239552,-23.443716,806.329163,4,16,1.277034259,0.693877551,68.03,25,3,41,0,0
"117","VGM_p04o","VGM",4,"open",2019,-45.233723,-23.43636,761.651245,7,62,1.535561718,0.722222222,69.14,28,0,153,4,56
"118","VGM_p09o","VGM",9,"open",2019,-45.218075,-23.434033,799.570557,6,59,1.530605242,0.736842105,72.41,32,13,101,0,0
"119","VGM_p09c","VGM",9,"closed",2019,-45.218086,-23.43404,800.055054,8,98,1.534141464,0.660493827,66.78,29,11,63,0,0
"120","VGM_p10c","VGM",10,"closed",2019,-45.216782,-23.434563,793.089966,15,39,2.375144674,0.87039239,73.16,50,12,144,0,0
"121","VGM_p11c","VGM",11,"closed",2019,-45.21459,-23.435386,798.654907,7,71,1.49950941,0.680272109,64.96,31,6,41,0,0
"122","VGM_p12o","VGM",12,"open",2019,-45.212231,-23.43479,794.839539,7,38,1.531641068,0.697530864,72.53,30,10,105,2,15
"123","VGM_p15o","VGM",15,"open",2019,-45.207126,-23.431526,794.60376,4,25,1.118743336,0.597222222,67.45,27,6,149,4,37.77777778
"124","CBO_p02o","CBO",2,"open",2017,-47.992218,-24.067741,739.851257,8,24,2.001182763,0.85260771,NA,20,3,86,3,164.7222222
"125","CBO_p04c","CBO",4,"closed",2017,-47.990394,-24.066304,823.626648,7,28,1.754004128,0.796296296,NA,29,0,8,1,0
"126","CAR_p01c","CAR",1,"closed",2017,-47.927811,-25.09477,30.15032,8,30,1.737983449,0.74556213,NA,22,2,85,0,0
"127","CAR_p02o","CAR",2,"open",2017,-47.925272,-25.095338,20.689249,7,88,1.587010258,0.715920916,NA,40,12,83,1,27.85714286
"128","CAR_p04o","CAR",4,"open",2017,-47.922067,-25.095685,23.64897,7,32,1.7419852,0.799048751,NA,21,1,102,1,26.33333333
"129","CAR_p04c","CAR",4,"closed",2017,-47.922061,-25.095662,22.005089,11,68,1.374296367,0.537436667,NA,29,0,102,0,0
"130","CAR_p05o","CAR",5,"open",2017,-47.919731,-25.095462,17.537193,6,85,1.44023475,0.6875,NA,23,1,83,2,28.2
"131","CAR_p08o","CAR",8,"open",2017,-47.930733,-25.097997,35.368107,4,53,0.44458471,0.198816568,NA,25,2,103,2,29
"132","CAR_p08c","CAR",8,"closed",2017,-47.930572,-25.098024,33.433784,12,104,1.519625326,0.607296754,NA,24,2,103,0,0
"133","CAR_p09o","CAR",9,"open",2017,-47.932214,-25.10392,88.153687,4,56,0.885574152,0.446280992,NA,20,1,103,1,29
"134","CAR_p09c","CAR",9,"closed",2017,-47.93221,-25.104023,88.235954,12,78,1.89791291,0.768895061,NA,29,19,56,0,0
"135","CAR_p10c","CAR",10,"closed",2017,-47.932759,-25.10636,128.560699,9,102,0.830434297,0.328994083,NA,34,10,37,0,0
"136","CAR_p11c","CAR",11,"closed",2017,-47.9333,-25.108234,146.384399,9,66,1.78814395,0.773760331,NA,25,3,83,0,0
"137","CAR_p12o","CAR",12,"open",2017,-47.931812,-25.107849,136.644623,7,22,1.83437197,0.82,NA,21,2,86,1,29
"138","CAR_p14o","CAR",14,"open",2017,-47.928964,-25.106099,187.9832,8,17,1.992798144,0.8515625,NA,29,2,105,1,29
"139","CAR_p14c","CAR",14,"closed",2017,-47.929058,-25.106113,184.362885,11,42,2.309298381,0.88941736,NA,28,5,105,0,0
"140","CAR_p15o","CAR",15,"open",2017,-47.926908,-25.10724,192.005157,4,12,1.386294361,0.75,NA,24,1,103,3,29
"141","CAR_p15c","CAR",15,"closed",2017,-47.926935,-25.107237,190.944687,6,58,1.383410723,0.680851064,NA,27,3,101,0,0
"142","ITA_p02c","ITA",2,"closed",2017,-45.095288,-23.322842,990.743896,8,42,1.597544076,0.732780612,NA,27,8,39,0,0
"143","ITA_p04o","ITA",4,"open",2017,-45.0852,-23.321763,988.862732,5,13,1.436828669,0.728888889,NA,32,8,83,3,32.43113772
"144","ITA_p04c","ITA",4,"closed",2017,-45.085317,-23.321675,986.783142,9,45,1.481190562,0.633674215,NA,30,4,0,0,0
"145","ITA_p06o","ITA",6,"open",2017,-45.087303,-23.317256,1010.29,6,28,1.621683467,0.778696051,NA,28,11,38,1,29
"146","ITA_p06c","ITA",6,"closed",2017,-45.087253,-23.317317,1010.29,6,60,1.339536578,0.669090909,NA,30,7,0,0,0
"147","ITA_p08c","ITA",8,"closed",2017,-45.082997,-23.318646,1027.61,4,30,0.955447141,0.519031142,NA,34,12,81,0,0
"148","ITA_p10c","ITA",10,"closed",2017,-45.082248,-23.314323,1069.82,5,21,1.152564616,0.588235294,NA,28,5,47,0,0
"149","ITA_p12c","ITA",12,"closed",2017,-45.079413,-23.311364,1088.24,4,13,1.242453325,0.666666667,NA,30,7,85,0,0
"150","ITA_p14o","ITA",14,"open",2017,-45.074988,-23.310486,1066.75,4,18,1.112456582,0.586666667,NA,26,3,86,3,26.10344828
"151","ITA_p14c","ITA",14,"closed",2017,-45.074968,-23.310471,1065.73,6,52,1.076921985,0.506616257,NA,23,2,69,0,0
"152","ITA_p15c","ITA",15,"closed",2017,-45.072363,-23.310361,1080.55,9,61,1.336108035,0.605372761,NA,17,0,84,0,0
"153","VGM_p01c","VGM",1,"closed",2017,-45.239552,-23.443716,806.329163,4,14,1.277034259,0.693877551,NA,25,3,84,0,0
"154","VGM_p04c","VGM",4,"closed",2017,-45.233621,-23.436282,759.187561,9,88,1.713715788,0.767019887,NA,30,1,0,0,0
"155","VGM_p06o","VGM",6,"open",2017,-45.226462,-23.434212,777.639526,7,65,1.532790003,0.712402344,NA,24,7,0,0,0
"156","VGM_p08o","VGM",8,"open",2017,-45.22087,-23.434813,796.220947,11,33,2.025326221,0.8,NA,16,1,84,1,0
"157","VGM_p08c","VGM",8,"closed",2017,-45.220824,-23.43486,797.138916,9,39,2.057897532,0.852071006,NA,23,1,86,0,0
